Timestamp,Hora,Valor do Microfone
1742574775,16:32:55,68.38
1742574776,16:32:56,69.34
1742574777,16:32:57,66.24
1742574778,16:32:58,68.62
1742574779,16:32:59,70.175
1742574780,16:33:00,80
1742574781,16:33:01,69.86
1742574782,16:33:02,67.3
1742574783,16:33:04,73.3
1742574784,16:33:05,75.65
1742574785,16:33:06,80
1742574786,16:33:07,71.7
1742574787,16:33:08,72.975
1742574788,16:33:09,65.8
1742574790,16:33:10,72.525
1742574791,16:33:11,62.78461
1742574792,16:33:12,66.94
1742574793,16:33:14,75.325
1742574794,16:33:15,76.95
1742574795,16:33:16,74.225
1742574797,16:33:17,80
1742574800,16:33:21,71.325
1742574801,16:33:22,78.1
1742574802,16:33:23,65.46
1742574808,16:33:28,63.64615
1742574811,16:33:31,70.3
1742574812,16:33:32,79.45
1742574813,16:33:33,77.3
1742574814,16:33:34,77.9
1742574815,16:33:36,65.14
1742574816,16:33:37,72.95
1742574817,16:33:38,70.9
1742574818,16:33:39,76.2
1742574819,16:33:40,79.7
1742574820,16:33:41,80
1742574822,16:33:43,79.125
1742574823,16:33:44,80
1742574824,16:33:45,77.45
1742574825,16:33:46,65.92
1742574827,16:33:47,66.62
1742574828,16:33:48,66.9
1742574829,16:33:49,64.6
1742574830,16:33:50,67.66
1742574831,16:33:51,61.98462
1742574832,16:33:52,80
1742574833,16:33:53,73.875
1742574834,16:33:54,76.45
1742574835,16:33:55,69.58
1742574836,16:33:56,58.7
1742574837,16:33:57,69.9
1742574838,16:33:58,75.9
1742574839,16:33:59,66.24
1742574840,16:34:00,72.025
1742574841,16:34:01,72.1
1742574842,16:34:02,68.54
1742574845,16:34:06,74.1
1742574846,16:34:07,72.5
1742574847,16:34:08,76.5
1742574848,16:34:09,64.72308
1742574849,16:34:10,74.15
1742574851,16:34:11,70.325
1742574852,16:34:12,64.50769
1742574853,16:34:13,63.67692
1742574854,16:34:14,67.72
1742574855,16:34:15,68.12
1742574856,16:34:16,79.7
1742574857,16:34:18,67.42
1742574858,16:34:19,71.175
1742574859,16:34:20,80
1742574860,16:34:21,73.6
1742574861,16:34:22,78.825
1742574863,16:34:23,75.725
1742574864,16:34:24,71.35
1742574865,16:34:25,68.44
1742574866,16:34:26,80
1742574867,16:34:27,76.025
1742574868,16:34:28,66.28
1742574869,16:34:29,66.56
1742574870,16:34:30,77.025
1742574871,16:34:31,76.25
1742574872,16:34:32,66.68
1742574873,16:34:33,71.625
1742574874,16:34:35,71.25
1742574875,16:34:36,70.45
1742574876,16:34:37,66.2
1742574877,16:34:38,78.975
1742574878,16:34:39,69.94
1742574879,16:34:40,65.16
1742574880,16:34:41,66.66
1742574881,16:34:42,67.28
1742574882,16:34:43,65.82
1742574883,16:34:44,66.46
1742574885,16:34:45,78.825
1742574886,16:34:46,75.425
1742574887,16:34:47,68.86
1742574888,16:34:48,67.64
1742574889,16:34:49,74.075
1742574890,16:34:50,80
1742574891,16:34:51,78.1
1742574892,16:34:53,71.375
1742574893,16:34:54,66.48
1742574894,16:34:55,75.625
1742574895,16:34:56,69.22
1742574896,16:34:57,71.05
1742574897,16:34:58,73.875
1742574898,16:34:59,72.8
1742574899,16:35:00,75.55
1742574901,16:35:01,73.325
1742574902,16:35:02,79.05
1742574903,16:35:03,74.775
1742574904,16:35:04,80
1742574905,16:35:05,78.575
1742574906,16:35:09,80
1742574910,16:35:10,80
1742574911,16:35:11,80
1742574912,16:35:12,72.925
1742574913,16:35:13,74.45
1742574914,16:35:14,75.575
1742574915,16:35:15,68.5
1742574916,16:35:16,71.575
1742574917,16:35:18,69.54
1742574918,16:35:19,78.675
1742574919,16:35:20,69.44
1742574920,16:35:21,79.45
1742574921,16:35:22,66.9
1742574922,16:35:23,74.9
1742574923,16:35:24,63.52308
1742574924,16:35:25,80
1742574925,16:35:26,65.26
1742574927,16:35:27,75.95
1742574928,16:35:28,77.425
1742574929,16:35:29,66.56
1742574930,16:35:30,70.975
